MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
w mA*A stfEl lh hy,drk HnA mA ElAbAlnA$ >nA ﻧhdrw brk,drk HnA mA EmbAlnA$ >nA ﻧqﻮlw brk,nHn hlq mA mnErf nHn Em nftrD bs,AHnA hlqyt mA bnErf$ AHnA bnftrD bs
w mA*A stfEl lh hy,w hy wA$ rAH dyrlw,w hy w$ rAH dyrlw,why $w rH tEmlh,w Ay$ HtEmlh hy
ElY Hsb mA ywjd fy Emlh,sAdﻳﭙﻮn wA$ kAyn fy Alxdmp tAEh,sAdﻳﭙﻮn w$ kAyn fy Alxdmp tyEw,Hsb $w fy b$glh,ElY Hsb mA hw mwjwd fy $glh
tgyb ffElwA bh kl h*A,gAb dArw fyh Al$y hdA qAE,gAb dArwA fyh Al$y >dA kl,bs gAb EmlwA fyh hyk,gAb fEmlwA fyh kl h*A
mn Almmkn >n smE $y}A w >mskwh HtY lA yxbr bh >HdA,qAdr  ykwn smE HAjp w Hkmwh bA$ mA yqwl$ HtY lwAHd,qAdr ykwn smE HAjp w Hkmwh bA$ mA yqwl$ HtY lwAHd,mmkn ykwn smE $y w >xdwh HtY mA yxbr HdA,mmkn Anh smE A$y w mskwh E$An mA yxbr$ HdA
Sdqyny >ny lA >Elm,wAllh mA nErf,wAllh mA nErf,mmkn ykwn smE $y w >xdwh HtY mA yxbr HdA,Sdqyny Any mA bErf
hm Al|n ElY nAr hl hw mxtTf >m lA,drk rAhm qAEdyn ElY nAr mxTwf wlA lAlA,drk >m qAEdyn ElY nAr mxTwf wlA lA,Sdqyny mA bErf,Sdqyny Any mA bErf
mA*A syqwl lhm fy AEtqAdk,zEmp wA$ ﻳqwlhm,zEmp w$ ﻳqﻠﻬﻢ,hnn hlq ElY nAr wyn hw bAlDbT,hmA hlqyt ElY nAr hw mxTwf w<lA l>
h*A <*A qAl lhm qAlwA ly >nh mSdwm,hdA <dA qAlhm qAlw ly rAh m$wky,zEmp w$ ﻳqﻠﻬﻢ,$w rH yHkylhm br>yk,Ay$ btfkry Hyqwlhm
tklm mEhm,hdA <dA qAlhm qAlw ly rAh m$wky,>dA <dA qlhm qAlwA ly >w m$wky,hAd <*A HkY $y qAlwly mSdwm,h*A <*A qAlhm qAlwly Anh mSdwm
tklm mEhm,hdr mEAhm,hdr mEAhm,HkY mEhm,tklm mEhm
hwytklm w yDHk lkn lm ytTrq lh*A Al>mr >bdA w lm ytklm Enh,hw yhdr w yDHk bAlSH AlHkAyp hdy mA jbdhA$ qAE mA hdr$ ElyhA,hw yhdr w yDHk bSH lHkAyp >dy mA jbdhA$ xlAh mA hdr$ ElAhA,hw byHky w byDHk bs mA jAb syrp hAlmwDwE bAlmrp wlA HkY Enh,hw ytklm w yDHk bs mA HkY En h*A AlmwDwE bAlmrp
xyrA <n $A' Allh xAltk mskynp,n$A llh  ykwn xyr xAltk mskynp,n$A llh ykwn xyr xAltk mskynp,xyr <n $A' Allh xAltk mskynp,xyr <n $A' Allh xAltk mskynp
zwjth >x*whA <lY AlTbyb,mrtw HtY AdAwhA llTbyb,mrtw HtAn dAwhA llTbyb,mrth >xdwhA EAlTbyb,mrth >x*whA EAldktwr
qAlt ly >my <nhA HAml,qAlt ly mAmA >wnsAnt,qﺎtly mAmA >wnsAnt,mrth >xdwhA EAlTbyb,qAltly Amy AnhA HAml
nEm <nhA HAml fy Al$hr AlsAbE,Ayh rAhy >wnsAnt EndhA sbE $hr,|h >y >wnsAnt EndhA sbE $hr,qAltly >my <nhA HAml,qAltly Amy AnhA HAml
h*A lA yEql qwly lh >n ydEh mn h*A AlEml Almly' bAl>xTAr,mAkA$ mnhA qwly lh xTyk mn Alxdmp hdy ly fyhA Alrysk w fyhA Alm$Akl,mkAn$ mnhA ql lhxTyk mn Alxdmp >dy ly fyhA Alrysk w fyhA Alm$Akl,<y HAml bAl$hr AlsAbE,Ah hy HAml fy Al$hr AlsAbE
<HtmAl fy Almrp AlqAdmp >n yxtTfwh >w y>x*wn zwjth >w >wlAdh kmA nrAhA fy Al>flAm,ﻛﭙﺎbl Almrp AljAyp yxTfwh hw wlA ydywlw mrtw wlA wlAdw kymA n$wfwhA fy lyfylm,mkAn$ mnhA ql lhxTyk mn Alxdmp >dy ly fyhA Alrysk w fyhA Alm$Akl,hAd mw mEqwl qlylh ytrk hAl$gl klh xTr,h*A m$ mEqwl qwlylh Anh ysybh mn h*A Al$gl AlmlyAn xTr
kAn bxyr w kAn yEml l>nh xrj *lk Alywm A$trY bED Al>$yA' lzwjth ElY AlHAdyp E$rp >HDr lhA Al>$yA' w *hb mn tlk AlTryq,ﻛﭙﺎbl Almrp AljAyp yxTfwh hw wlA ydywlw mrtw wlA wlAdw kymA n$wfwhA fy lyfylm,ﻛﭙﺎbl Almrp AljAyp yxTfwh hw wlA ydywlw mrtw wlA wlAdw kymA n$wfwhA fy AlfylmAt,AHtmAl bAlmrp AljAyp yxTfwh >w yAxdwA mrth >w wlAdh mtl mA mn$wf bAl>flAm,<HtmAl fy Almrp AljAyp Anh yxTfwh >w y>x*wA mrth >w wlAdh zy mA bn$wfhA fy Al>flAm
kAn bxyr w kAn yEml l>nh xrj *lk Alywm A$trY bED Al>$yA' lzwjth ElY AlHAdyp E$rp >HDr lhA Al>$yA' w *hb mn tlk AlTryq,kAn yxdm lAbAs byh ﭙﺎskw xrj AlnhAr hdAk qDY lmrtw ElY AlHdA$ jAblhA AlqDyAn w rAH hAdyk hy AlTryq,>w kAn yxdm lAbAs byh bﺎskw xrj AlnhAr >dAkA qDY lmrtw ElY lHdA$ jAblhA AlqDyp w rAH >dykA hy AlTryq,kAn bxyr w kAn Em y$tgl l>nh TlE bhdAk Alywm A$trY $wyp $glAt lmrth w AlsAEp jblhA Al>grAD w rAH mn hdyk AlTryq,kAn bxyr w kAn y$tgl E$An TlE hdAk Alywm A$trY $wyp AgrAD lmrth ElY Al<HdE$ jAblhA AlAgrAD w rAH mn hdyk AlTrq
>nA $xSyA mstgrbp jdA,wAllh >nA wHdp mn AlnAs  rAny HAyrp  SH,wAllh >nA wHdp mn AlnAs HAyrp xlAh,>nA $xSyA mstgrbp ktyr,>nA $xSyA mstgrbp ktyr
<ltqY bAbn Emh yEml mEh fy AlwlAyp qAl lh >yn t*hb qAl lh >*hb l>Eml Al|n >nA lA >Elm r|h *lk Alywm >m fy Algd,tlAqAh wlyd Emw yxdm mEAh fy AlwlAyp qAl lh wyn rAk rAyH qAl lh rAyH nxdm dwk mA ElY bAly$ $Afw AlnhAr hdAk wlA gdwp mn dAk,tlAqAh wld Emw yxdm mEAh fy AlwlAyp ql lh wyn rAyH ql lh rAyH nxdm drk mA ElY bAly$ $Afw AlnhAr >dAk wlA gdwp,Sdf Abn Emh by$tgl mEh bAlmHAfZp qlh wyn rAyH qlh rAyH A$tgl bs hlq mA bErf $Afh bnfs Alywm wlA tAny ywm,<ltqY bAbn Emh bby$tgl mEh fy AlwlAyp qAlh wyn rAyH qAlh rAyH >$tgl hlqyt >nA m$ EArf $Afh hdAk Alywm w<lA vAny ywm
*lk >yDA lA >Elmh <ltqY bh Sdyqh >yDA r|h mn bEyd lA >Erf <n kAn Antbh lh >m lA,hAdAk mA nErf tlAqAh SAHbw tAny $Afw mn bEyd mA nErf $Afw wlA lAlA,>dykA mA nErf tlAqAh SAHbw tAnA $Afw mn bEyd mA nErf twlhlw wlA lA,kmAn mA bErf $Afh Sdyqh mn bEyd mA bErf <*A kAn Antbh lh wlA l>,hdAk kmAn m$ EArfh <ltqY fyh SAHbh kmAn $Afh mn bEyd m$ EArf <*A kAn Antbh lh >w l>
EndmA kAn *AhbA <lyh wjdh qd rHl Almhm >nh Zhr h*A kl $y',ky jA' rAyH lyh lqAh rAH lyswnsyAl ky bAn hdA mA kAn,ky jA rAyHlw lqAh m$A lyswnsyAl ky bAn >dA mA kAn,kmAn mA bErf $Afh Sdyqh mn bEyd mA bErf <*A kAn Antbh lh wlA l>,lmA kAn rAyH Elyh lqAh rAyH Almhm Anh byn h*A kl A$y
ln ttkrr <n $A' Allh,n$A llh mA ttEAwd$,n$A llh mA ttEAwd$,lmA rAH lEndh lqAh rAyH Almhm hAd kl$y byn,lmA kAn rAyH Elyh lqAh rAyH Almhm Anh byn h*A kl A$y
EndmA yfhmwn >wlA fymA bEd yqrrwn l>nh wDE lh <ElAnA fy AljzA}r b>kmlhA,ky yfhmw AlSH >wmbEd ydysydyw ElY xATr dArwlw Anwns fy dzAyr kAml,ky yfhmw AlsH mbEdykA ydysydyw ElY xATr dArwlw Anwns ElY dzAyr kAmlp,<n $A' Allh mA btnEAd,m$ Httkrr <n $A' Allh
ElY Alm$Afy w kl $y',fy AlsbyTArAt fy kl$,ky yfhmw AlsH mbEdykA ydysydyw ElY xATr dArwlw Anwns ElY dzAyr kAmlp,lmA yfhmwA bAl>wl bEdyn byqrrwA l>n HTwlh <ElAn bAljzA}r klhA,lmA yfhmwA bAl>wl bEdyn byqrrwA l>nh HTlh <ElAn fy AljzA}r bHAlhA
ymkn >n yktbwhA fy Aljrydp >yDA,fy AlsbyTArAt fy kl$,ElY AlsbyTArAt ElY kl$,bAlm$Afy w gyrhA,ElY Almst$fyAt w kl A$y
ymkn >n yktbwhA fy Aljrydp >yDA,qAdryn HtY yktbwhA fy AljwrnAl,qAdryn HtY yktbwhA fy AljwrnAl,ymkn yktbwhA bAljrydp kmAn,ymkn Anhm yktbwhA fy Aljrydp kmAn
lqd >ElnwA fy kl mkAn,dyklArAw ﭙﺎrtw,rAhm dyklArAw bﺎrtw,HTwA AlAElAn bkl mHl,>ElnwA fy kl mkAn
kAnwA ytklmwn mn* qlyl AlxTf fy kl mkAn txTf AlrjAl mn wsT Almdynp txTf b$kl EAdy jdA,yHkyw mqbylp AlxTyf ﭙﺎrtw AlrjAl ttxTf mn wsT lAfyl yxTfwk nwrmAl qAE,qAEdyn yHkyw qbylp lxTyf bﺎrtw AlrjAl ttxTf mn wsT lblAd yxTfwk nwrmAl xlAh,kAnwA Em yHkwA mn $wy En AlxTf bkb mHl Em tnxTf AlrjAl mn nS Almdynp w b$kl EAdy ktyr,kAnwA byHkwA qbl $wy AlxTf fy kl mkAn tnxTf AlrjAl mn nS Almdynp tnxTf b$kl EAdy jdA
nEm,Ayh,|h,Ay,Ah
>nA dA}mA >wSyhm >qwl lhm >nZr yA nwr *lk Aljsr tjnbh lA yEny >nh mn lA ymr ElyhA lys rjlA Al|n SAr qTAE AlTrq yErfwn Al<nsAn mn wjhh SHyH >m lA,>nA dAymA nwSyhm nqwlhm $wf yA nwr Albwn hAdAk Ayftyh mA$y mEnthA Ally mA yjwz$ Elyh mA$y rAjl drk lyfwAyw yErfw AlEbd mn wjhw SH wlA lAlA,>nA dAymA nwSyhm nqlhm $wf > nwr AlqnTrp >dykA <ﻳfytAhA m$ mEnAhA ly mA yEdy$ ElAhA m$w rAjl drk AlbwndyA yErfwk AlEbd mn wjhw SH wlA lA,Ay,>nA dA}mA b>wSyhm >qwlhm >TlE yA nwr hdAk Aljsr tHA$Ah m$ mEnAh Anh nm lA ymr ElyhA lys rjlA hlqyt SAr qTAE AlTrq byErfwA AlwAHd mn wjhh mzbwT w<lA l>
SHyH,SH,SH,>nA dA}mA bwSyhm $wf yA nwr hAd Aljsr Antbh mnh mw yEny Aly mA bymr mnh mw rjl bs hlq qTAE AlTrq SArwA byErfw Al$xS mn wjhh SH >m l>,>nA dA}mA b>wSyhm >qwlhm >TlE yA nwr hdAk Aljsr tHA$Ah m$ mEnAh Anh nm lA ymr ElyhA lys rjlA hlqyt SAr qTAE AlTrq byErfwA AlwAHd mn wjhh mzbwT w<lA l>
mn* qlyl mvlA kAnwA ytklmwn En $xS yEml fy tHmyl AlsyArAt mn Alsfn w y>x*wnhm lybyEwhm >wqfwh fy AlTryq yHml vmAnyp syArAt yqAl >nhm >$bEwh DrbA w rbTwh w rmwh w >x*wA Al$AHnp w hrbwA,kymA mqbylp yHkyw wAHd yxdm yrfd AlTwmwbylAt mn AlbAbwr w ydywhm lAmyzwn bA$ ybyEwhm Hbswh fy nS AlTryq rAfd mEAh tmAnyp TwmwbylAt qAlk ETAwh TryHp $bEwh Drb w rmAwh w ktfwh w AdAw AlkAmywn w hrbw byh,kymA qbylp yHkyw wAHd yxdm yhz AltwmwbylAt mn AlbAbwr w ydywhm lAmyzwn bA$ ybyEwhm Hbswh fy nS AlTryq hAz mEAh tmnyp twmwbylAt qlk ETAwh TryHp $bEwh Drb w Ty$wh w ktfwh w hzw AlkAmywnp w hrbw bAhA,SH,mzbwT
fyhA syArAt jdydp jdA,fyh TwmwbylAt jdd qSbp,kymA qbylp yHkyw wAHd yxdm yhz AltwmwbylAt mn AlbAbwr w ydywhm lAmyzwn bA$ ybyEwhm Hbswh fy nS AlTryq hAz mEAh tmnyp twmwbylAt qlk ETAwh TryHp $bEwh Drb w Ty$wh w ktfwh w hzw AlkAmywnp w hrbw bAhA,mn $wy kAnwA Em yHkwA En $xS by$tgl btHmyl AlsyArAt mn Alsfn w byAxdwhA lybyEwhA wqfwh bAlTryq mHml 8 syArAt byqwlwA $bEwh Drb w rbTwh w rmwh w >xdwA Al$AHnp w hrbwA,qbl $wy mvlA kAnwA byHkwA En wAHd by$tgl fy tHmyl AlsyArAt mn Alsfn w y>x*whA lybyEwhA wqfwh fy AlTryq byHml tmn syArAt byqwlwA Anhm $bEwh Drb w rbTwh w rmwh w >x*wA Al$AHnp w $rdwA
km mn AlnAs kAnwA yrkbwn syArAt w >nzlwhm mnhA,fyh TwmwbylAt jdd qSbp,fAhA twmwbylAt jdd qSbp,fyhA syArAt ktyr jdydp,fyhA syArAt jdydp ktyr
km mn AlnAs kAnwA yrkbwn syArAt w >nzlwhm mnhA,$HAl nAs kAnw rAkbyn fy AlTwmwbylAt w hbTwhm mnhA,qﺪAh nAs kAnt rAkbp fy Altwmwbyl w hbTwhm mnhA,qdy$ fy nAs kAnt rAkbp syArAt nzlwhm mnhA,qdy$ kAn fy nAs rAkbyn syArAt w nzlwhm mnhA
zwj nAdyp >yDA EndmA jA' ly>x*hA >wqfh >$xAS fy wAd Alnyl w >nzlwh mnhA bAlsywf lHsn HZh tErf Elyh >Hdhm f>Tlqwh w <lA lm ykn lynjw w nAdyp Zlt EndnA >sbwEyn jrA' AlSdmp,rAjl nAdyp kyfkyf ky jA' yjybhA Hbswh wyn wAd Alnyl w hbTwh mnhA bAlsywfp Awrwzmwn TAH fy wAHd yErfw xlAwh synwn mA yslk$ w nAdyp jAt qEdt zwj smAnAt EndnA mn AlxlEp,rAjl nAdyA kyfkyf ky jA yrwHhA Hbswh wHAyd wyn wAd Alnyl w hbTwh mnhA bAlsywfp Awrwzmwn TAH fy wAHd yErfw sybwh synwn mA mnE$ w nAdyA jAt qEdt smAntyn EndnA mn AlxlEp,zwj nAdyp kmAn lmA AjA yAxdhA wqfwh >$xAS bwAdy Alnyl nzlwh mnhA bAlsywf lHsn HZh Erfhm bEdyn trkwh w <lA mA kAn njy w nAdyp Dlt EnA AsbwEyn mn AlSdmp,jwz nAdyp kmAn lmA >jY ly>x*hA wqfwh nAs fy wAd Alnyl w nzlwh mnhA bAlsywf lHsn HZh tErf Elyh wAHd mnhm fsAbwh w <lA mA kAn$ njy w nAdyp Zlt EnA >sbwEyn mn AlSdmp
>nZr l>bsT Al>$yA' Sdqyny >n h*A Alzmn SAr SEbA,$wfy >bsT AlHwAyj w Allh Alwqt hdA wlY wAEr,$wfy >bsT lHwAyj w Allh Alwqt >dA wlY wAEr,$wf b>blsT Al>$yA' Alzmn SAr ktyr SEb,>TlE l>bsT Al>$yA' Sdqyny Anh h*A Alzmn SAr SEb
hw Al*y twqf >mAmhm,hw ly Hbs lhm,hw ly Hbslhm,hw Aly wqf qdAmhn,hw Ally wqf qdAmhm
l*lk yqAl EndmA tSEd fy syArp >glqhA HtY EndmA tsyr EndmA yrydwn ftHhA lA ystTyEwn,ElY hAdyk yqwlk ky trkb fy AlTwmwbyl >glqhA HtY ky  tkwn mA$y ky yHbw yHlwhA mA yqdrw$,EdykA yqlk ky trkb fy Altwmwbyl >qflhA HtY ky tkwn mA$y ky yHbw yHlwhA mA yqdrw$,hw Aly wqf qdAmhn,E$An hyk byqwlwA lmA tTlE fy syArp skrhA E$An lmA tm$y lmA bdhm yftHwhA mA yqdrw$
w mA Al*y syfElh Al<nsAn,wA$ rAH ydyr AlEbd,w$ rAH ydyr AlEbd,lhyk byqwlwA lmA tTlE bAlsyArp skrhA HtY lmA tm$y m$An <*A HAwlwA yftHwhA mA yqdrwA,E$An hyk byqwlwA lmA tTlE fy syArp skrhA E$An lmA tm$y lmA bdhm yftHwhA mA yqdrw$
xyrA <n $A' Allh,n$Allh brk  tkwn slAmAt,n$Alh brk tkwn slAmAt,w$w byEml AlwAHd,w Ay$ Ally HyEmlh AlwAHd
w hw k*lk,hAdyk hy,n$Alh brk tkwn slAmAt,xyr gn $A' Allh,xyr <n $A' Allh
>nA >xAf >lA yZhr >bdA,hAdyk hy,>dykA hy,whw hyk,tmAm
>nA >xAf >lA yZhr >bdA,rAny xAyfp  mA ybAn$ qAE,Any xAyfp lA mA yZhr$ xlAh,>nA xAyf mA ybyn >bdA,AnA bxAf Anh mA bbyn bAlmrp
<nh mSdwm Al|n >kyd >n hnAk $y}A,rAh m$wky dwk swr kAynp HAjp,>w m$wky drk swr kAynp HAjp,hw mSdwm hlq >kyd fy $y,hyw mSdwm hlqyt >kyd Anh fy A$y
Sdqyny >n xAltk tvyr Al$fqp,wAllh  gyr xAltk tgyD,wAllh xAltk tgyD,Sdqyny xAltk btwjE Alqlb,Sdqyny >n xAltk ytHzn
>tmnY >n ykwn h*A fy myzAn HsnAthA,n$A llh  ykwn hdA Al$y  fy myzAn HsnAthm,n$A llh ykwn Al$y >dA fy myzAn HsnAthm,btmnY ykwn hAl$y bmyzAn HsnAthA,btmnY Anh ykwn h*A fy myzAn HsnAthA
|myn <n $A' Allh,|myn n$A llh,|myn n$A llh,btmnY ykwn hAl$y bmyzAn HsnAthA,|myn <n $A' Allh
>nZry l>mk kAnt *Ahbp End xAltk xwxp w SArt End fATmp,$wfy ymAk ly kAnt rAyHp End xAltk xwxp SbHt End fATmp,$wfy >mk ly kAnt rAyHp End xAltk xwxp SbHt End fATmp,|myn yArb,|myn <n $A' Allh
*hbt End xAlty fATmp,hy rAHt End xAlty fATmp,hy rAHt End xAlty fATmp,$wfy Amk kAnt rAyHp lEnd xAltk xwxp w SArt End fATmp,$wfy Amk kAnt rAyHp End xAltk xwxp w SArt End fATmp
lkn mn qbl kAnt tnwy Al*hAb End xAltk xwxp,bAlSH kAnt mn qbl nAwyp trwH End xAltk xwxp,hy rAHt End xAlty fATmp,rAHt End xAlty fATmp,rAHt End xAlty fATmp
w mtY tEwd >mk,bAlSH kAnt mn qbl nAwyp trwH End xAltk xwxp,bSH kAnt mn qbl nAwyp trwH End xAltk xwxp,bs mn qbl kAnt nAwyp trwH lEnd xwxp,bs mn qbl kAnt nAwyp trwH End xAltk xwxp
w mtY tEwd >mk,wqtA$ twly ymAk,wqtAh trwH >mk,wAymtY btrjE Amk,w AmtY HtrjE Amk
lA tElm,mA ElAbAlhA$,mA EmbAlhA$,mA btErf,m$ EArfp
fy nhAyp h*A Al>sbwE t>tyAn,AlwykAnd hdA tjyw fy zwj,AlwykAnd >dA tjyw fy zwz,b|xr AlAsbwE byjwA swA,fy |xr h*A Al>sbwE HtyjwA
Sdqyny yA >xty <ymAn >ny s>rY,wAllh gyr n$wf yA <ymAn yA Axty,wAllh n$wf > <ymAn ywxty,Sdqyny yA Axty AymAn rH $wf,Sdqyny yA >xty <ymAn Any H>$wf
lmA*A  ؟ l>n >my EndmA tklmt mE >mk lm tstTE >n tqwl lhA w hy fy tlk AlHAlp,wElAh ElY xATr mAmA ky hdrt mE mAmAk mA qdrt$ tqwl lhA w hy fy AlHAlp hAdyk,wElAh xATr mAmA ky hdrt mE mmAk mA qdrt$ tqwly lhA w hy fy AlHAlp >dykA,Sdqyny yA Axty AymAn rH $wf,ly$ E$An Amy lmA Hkt mE Amk mA qdrt$ AnhA tqwlhA w hy fy hdyk AlHAlp
<nhm fy HAlp yrvY lhA,>m fy HAlp,>m fy HAlp,ly$ l>n Amy lmA Hkt mE >mk mA qdrt tqlhA $y w hy bhAlHAlp,ly$ E$An Amy lmA Hkt mE Amk mA qdrt$ AnhA tqwlhA w hy fy hdyk AlHAlp
mn kAn yEtqd >n $y}A kh*A syHdv,$kwn ly qAl rAH tSrA HAjp kymA hAkA,$kwn ly qAl rAH tSrA HAjp kymA >k,HAlthm fZyEp,HAlthm btHzn
Sdqyny >n AlbArHp kAn kAbwsA,wAllh AlbArH kw$mAr,$kwn ly qAl rAH tSrA HAjp kymA >k,mn kAn byZn rH ySyr hyk $y,myn kAn yfkr Anh A$y zy hyk HySyr
yEny >n AlbArHp kAn vAlv ywm,wAllh AlbArH kw$mAr,wAllh lbArH kw$mAr,Sdqyny mbArH kAn kAbws,Sdqyny Anh AmbArH kAn kAbws
yEny >n AlbArHp kAn vAlv ywm,tsmY AlbArH tAlt ywm,tsmY AlbArH tAlt ywm,yEny mbArH kAn tAlt ywm,yEny Anh AmbArH kAn vAlv ywm
<HtmAl >n ykwn vAlv ywm w AHtmAl >n ykwn rAbE ywm lqd tHdvwA lkn AlHqyqp gyr wADHp >my hnAk stfhm AlwDE,qAdr  ykwn tAlt ywm qAdr ykwn rAbE ywm rAhm hdrw bAlSH AlSH mArAhw$ bAyn dwk mAmA rAhy ltm dwk tfhm AlSH,qAdr ykwn tAlt ywm qAdr ykwn rAbE ywm rAhm hdrw bSH AlSH m$w bAyn drk mAmA >y ltm drk tfhm AlSH,mmkn ykwn tAlt ywm w mmkn ykwn rAbE ywm hnn HkwA bs AlHqyqp mw wADHp >my hnyk rH tfhm AlwDE,<HtmAl Anh ykwn vAlv ywm w AHtmAl Anh ykwn rAbE ywm HkwA bs AlHqyqp m$ wADHp Amy hnAk Htfhm AlwDE
<nhm ytHAylwn Elyh fHsb yklmwnh w ymAzHwnh w lA ytTrqwn llmwDwE >bdA,>m gyr ysAysw fyh yhdrw mEAh w yDHkwh mA jbdwlw$ ElY AlHkAyp qAE,>m gyr ysAysw fyh yhdrw mEAh w yDHkw mA jbdwlw$ ElY lHkAyp xlAh,Em ytHAylwA Elyh bs byHkwh w bymzHwA mEh bs mAl byHkwA bAlmwDwE >bdA,hmA bytHAylwA Elyh bs byklmwh w bymzHwA mEh w mA bjybwA syrp AlmwDwE bAlmrp
qlt lhA tHdvwA mEh w mAzHwh w AsHbwA mnh AlklAm <*A bqy ElY h*A AlHAl x*wh <lY mxtS nfsAny,qlt lhm Ahdrw mEAh w DHkwh w AjbdwA mnh Alhdrp <dA qEd kymA rAh ydywh  ﻟﭙﺴﻴﻜﻮlwq,qﺘﻠﻬﺎ Ahdrw mEAh w DHkwh w AjbdwA mnw Alhdrp <dA qEd kymA >k ydywh ﻟﭙﺴﻴﻜﻮlwq,qltlhA AHkwA mEh w AmzHwA w AsHbwA mnh AlklAm <*A Dl ElY hAlHAlp bdw Tbyb nfsAny,qltlhA AHkwA mEh w mAzHwh w AsHbwA mnh AlklAm <*A Dl ElY h*A AlHAl x*wh lmxtS nfsAny
hl E*bwh,kA$ mA Edbwh,k$mA Edbwh,qltlhA AHkwA mEh w AmzHwA w AsHbwA mnh AlklAm <*A Dl ElY hAlHAlp bdw Tbyb nfsAny,hmA E*bwh
lA twjd |vAr tE*yb qlt lhA : >my hl hw mSAb >w jryH، qAlt ly lA $y',mAkA$ >tAr tEdyb qAlt lhm mAmA mDrwb wlA mjrwH qAlt ly wAlw,mkAn$ >tAr tEdyb qﺘﻠﻬﺎ mAmA mDrwb wlA mjrwH qAtly wAlw,E*bwh $y,hmA E*bwh
mn Almmkn >n ykwn fy jsmh ، mn AldAxl,bAlAk fy Alkwr tAEw mn dAxl,blAk fy Alkwr tAEw mn dAxl,mAfy |vAr tE*yb s>lt >my fy $y <SAbp >w jrH qAltly l>,mA fy$ |vAr tE*yb qltlhA Amy hw mtSAwb >w mjrwH qAltly wlA A$y
ElY Al>ql y>tyk mt>lmA,ElY AlAql yjyk ytwjE,blAk fy Alkwr tAEw mn dAxl,ymkn ykwn bjsmh $y dAxly,mmkn Anh ykwn fy jsmh mn jwA
qlty >n wjhh mtgyr fElwA lh $y}A mA ، nzEwA mnh $y}A,ElY AlAql yjyk ytwjE,ElY AlAql yjyk mwjwE,kAn byt>lm ElY >l>ql,ElY Al>ql yjyk mtwjE
qlty >n wjhh mtgyr fElwA lh $y}A mA ، nzEwA mnh $y}A,qlty wjw mqlb k$mA dArwlw nHAw mnh HAjp,|ky qﻠﺘﻲ wjw mqlb k$mA dArwlw nHAw mnw HAjp,qltyly wjhh mtgyr Emlwlh $y >xdwA mnh $y,qAlty Anh wjhh mtgyr Emlwlh A$y $AlwA mnh A$y
HtY w <n nzEwA mnh $y}A sykwn mt>lmA,HtY lwkAn nHAwlw rAH  ykwn Endh AlsTr,HtY kwn nHAwlw rAH ykwn Endw AlsTr,lw >xdwA mnh $y kAn byt>lm,HtY w <*A $AlwA mnh A$y Hykwn mtwjE
Sdqyny lA >Elm,wAllh mA ElY bAly,wAllh mA ElY bAly,Sdqyny mA bErf,Sdqyny mA bErf
Sdqyny >n kl $y' mmkn،  rjl yxtTf vlAvp >yAm w yEwd !,wAllh kl$ mmkn AlrAjl hdA yxTfwh tlAtp AyAm w yrjE,wAllh kl$ mmkn AlrAjl >dA yxTfwh tlAtp yAm w yrjE,Sdqyny kl$y mmkn  rjl yxtTf 3 >yAm w yrjE,Sdqyny Anh kl A$y mmkn zlmp ynxTf vlAv >yAm w yrjE
mn >yn AtSl ؟ mn hAtf Emwmy؟,hw mnyn EyT mn AltAksyfwn,hw mnyn EyT mn AltAksyfwn,Sdqyny kl$y mmkn  rjl yxtTf 3 >yAm w yrjE,mn wyn AtSl hw mn tlyfwn Emwmy
ybdw ly  mn hAtf nqAl  >nh AtSl b<xwth w >bnA' Emh *hbwA w >HDrwh,bAnt ly mn AﻟﭙﻮrtAbl EyT lxAwtw w wlAd Emwmw rAHwA jAbwh,bAntly mn AﻟﭙﻮrtAbl EyT lxAwtw w wlAd Emwmw rAHw jAbwh,hw mn wyn AtSl mn hAtf Emwmy,mn wyn AtSl hw mn tlyfwn Emwmy
kAnwA ytSlwn bh w lA yrd,kAnw yEyTwA lh w mA yrd$,kAnw yEyTwlw w mA yhz$,ymkn mtSl mn jwAl b<xwAth w wlAd Emh rAHwA jAbwh,bthy>ly Anh AtSl mn jwAl b<xwth w wlAd Emh rAHwA wjAbwh
lA hAtfh AlnqAl kAn mglqA,lAlA AﻟﭙﻮrtAbl tAEh mglwq,kAnw yEyTwlw w mA yhz$,kAnwA Em ytSlw fyh w mA yrd,kAnwA bytSlwA fyh w mA byrd$
lqd xft jdA,lAlA AﻟﭙﻮrtAbl tAEh mglwq,lA AﻟﭙﻮrtAbl tyEw mqfwl,hAtfh AljwAl kAn mskr,lA jwAlh kAn mskr
lqd xft jdA,rAny xft bzAf,>ny xft xlAh,xft ktyr,xft ktyr
mAbk؟  nHn n$Ahd flmA !,wA$ bk fylm rAnA n$wfw fyh,w$byk fylm qAEdyn n$wfw fyh,$bk nHnA Em n$wf fylm,Ay$ mAlk AHnA bntfrj ElY fylm
xyrA <n $A' Allh,n$A llh xyr,n$A llh xyr,xyr <n $A' Allh,xyr <n $A' Allh
<n $A' Allh,n$A llh,n$A llh,<n $A' Allh,<n $A' Allh
w Ebdw  mEhm Al|n ؟,w Ebdw dwk rAh mEAhm,w Ebdw drk >w mEAhm,<n $A' Allh,w Ebdw hlqyt mEhm
